"filename", "language", "Vue", "JavaScript", "TypeScript", "SCSS", "YAML", "XML", "comment", "blank", "total"
"d:\czcfiles\code\vue-admin-template\src\App.vue", "Vue", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\czcfiles\code\vue-admin-template\src\api\common.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-admin-template\src\api\movie.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\czcfiles\code\vue-admin-template\src\api\system.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\czcfiles\code\vue-admin-template\src\api\table.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\czcfiles\code\vue-admin-template\src\api\type.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 6, 47
"d:\czcfiles\code\vue-admin-template\src\api\upload.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 4, 30
"d:\czcfiles\code\vue-admin-template\src\api\user.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 32
"d:\czcfiles\code\vue-admin-template\src\components\Breadcrumb\index.vue", "Vue", 70, 0, 0, 0, 0, 0, 2, 7, 79
"d:\czcfiles\code\vue-admin-template\src\components\Hamburger\index.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 4, 45
"d:\czcfiles\code\vue-admin-template\src\components\SvgIcon\index.vue", "Vue", 57, 0, 0, 0, 0, 0, 1, 5, 63
"d:\czcfiles\code\vue-admin-template\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 3, 10
"d:\czcfiles\code\vue-admin-template\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svgo.yml", "YAML", 0, 0, 0, 0, 5, 0, 13, 5, 23
"d:\czcfiles\code\vue-admin-template\src\layout\components\AppMain.vue", "Vue", 35, 0, 0, 0, 0, 0, 2, 4, 41
"d:\czcfiles\code\vue-admin-template\src\layout\components\Navbar.vue", "Vue", 121, 0, 0, 0, 0, 0, 0, 19, 140
