Date : 2023-04-08 18:31:55
Directory : d:\czcfiles\code\vue-admin-template\src
Total : 76 files,  4312 codes, 260 comments, 383 blanks, all 4955 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         31 |      3,102 |         95 |        162 |      3,359 |
| JavaScript |         26 |        847 |        133 |        134 |      1,114 |
| SCSS       |          6 |        346 |         19 |         82 |        447 |
| XML        |         11 |         11 |          0 |          0 |         11 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
| TypeScript |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         76 |      4,312 |        260 |        383 |      4,955 |
| . (Files)                                                                         |          4 |         83 |         29 |         26 |        138 |
| api                                                                               |          7 |        156 |          0 |         25 |        181 |
| components                                                                        |          3 |        168 |          3 |         16 |        187 |
| components\Breadcrumb                                                             |          1 |         70 |          2 |          7 |         79 |
| components\Hamburger                                                              |          1 |         41 |          0 |          4 |         45 |
| components\SvgIcon                                                                |          1 |         57 |          1 |          5 |         63 |
| icons                                                                             |         13 |         22 |         14 |          8 |         44 |
| icons (Files)                                                                     |          2 |         11 |         14 |          8 |         33 |
| icons\svg                                                                         |         11 |         11 |          0 |          0 |         11 |
| layout                                                                            |         11 |        598 |         13 |         63 |        674 |
| layout (Files)                                                                    |          1 |         86 |          0 |          8 |         94 |
| layout\components                                                                 |          9 |        472 |         11 |         51 |        534 |
| layout\components (Files)                                                         |          3 |        159 |          2 |         24 |        185 |
| layout\components\Sidebar                                                         |          6 |        313 |          9 |         27 |        349 |
| layout\mixin                                                                      |          1 |         40 |          2 |          4 |         46 |
| lib                                                                               |          1 |         38 |          0 |          2 |         40 |
| router                                                                            |          1 |        171 |         27 |         19 |        217 |
| store                                                                             |          5 |        174 |          5 |         30 |        209 |
| store (Files)                                                                     |          2 |         24 |          0 |          5 |         29 |
| store\modules                                                                     |          3 |        150 |          5 |         25 |        180 |
| styles                                                                            |          6 |        346 |         19 |         82 |        447 |
| types                                                                             |          1 |          1 |          0 |          0 |          1 |
| utils                                                                             |          5 |        162 |         67 |         25 |        254 |
| views                                                                             |         19 |      2,393 |         83 |         87 |      2,563 |
| views (Files)                                                                     |          2 |        248 |          0 |          5 |        253 |
| views\dashboard                                                                   |          1 |         53 |          0 |          7 |         60 |
| views\form                                                                        |          1 |         82 |          0 |          4 |         86 |
| views\login                                                                       |          1 |        216 |          3 |         25 |        244 |
| views\movie                                                                       |          5 |        863 |         34 |         18 |        915 |
| views\movie\list                                                                  |          1 |        217 |          3 |          3 |        223 |
| views\movie\video                                                                 |          4 |        646 |         31 |         15 |        692 |
| views\movie\video (Files)                                                         |          2 |        495 |         27 |          9 |        531 |
| views\movie\video\components                                                      |          2 |        151 |          4 |          6 |        161 |
| views\system                                                                      |          3 |        335 |         24 |          8 |        367 |
| views\system\home                                                                 |          3 |        335 |         24 |          8 |        367 |
| views\system\home (Files)                                                         |          1 |          7 |          0 |          2 |          9 |
| views\system\home\carousel                                                        |          1 |        328 |         24 |          5 |        357 |
| views\system\home\recommender                                                     |          1 |          0 |          0 |          1 |          1 |
| views\table                                                                       |          1 |         77 |          0 |          3 |         80 |
| views\tree                                                                        |          1 |         72 |          0 |          7 |         79 |
| views\type                                                                        |          2 |        286 |         19 |          5 |        310 |
| views\type (Files)                                                                |          1 |          7 |          0 |          1 |          8 |
| views\type\list                                                                   |          1 |        279 |         19 |          4 |        302 |
| views\user                                                                        |          2 |        161 |          3 |          5 |        169 |
| views\user (Files)                                                                |          1 |          7 |          0 |          1 |          8 |
| views\user\list                                                                   |          1 |        154 |          3 |          4 |        161 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\czcfiles\code\vue-admin-template\src\App.vue                                   | Vue        |         10 |          0 |          2 |         12 |
| d:\czcfiles\code\vue-admin-template\src\api\common.js                             | JavaScript |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\api\movie.js                              | JavaScript |         14 |          0 |          2 |         16 |
| d:\czcfiles\code\vue-admin-template\src\api\system.js                             | JavaScript |         33 |          0 |          5 |         38 |
| d:\czcfiles\code\vue-admin-template\src\api\table.js                              | JavaScript |          8 |          0 |          2 |         10 |
| d:\czcfiles\code\vue-admin-template\src\api\type.js                               | JavaScript |         41 |          0 |          6 |         47 |
| d:\czcfiles\code\vue-admin-template\src\api\upload.js                             | JavaScript |         26 |          0 |          4 |         30 |
| d:\czcfiles\code\vue-admin-template\src\api\user.js                               | JavaScript |         27 |          0 |          5 |         32 |
| d:\czcfiles\code\vue-admin-template\src\components\Breadcrumb\index.vue           | Vue        |         70 |          2 |          7 |         79 |
| d:\czcfiles\code\vue-admin-template\src\components\Hamburger\index.vue            | Vue        |         41 |          0 |          4 |         45 |
| d:\czcfiles\code\vue-admin-template\src\components\SvgIcon\index.vue              | Vue        |         57 |          1 |          5 |         63 |
| d:\czcfiles\code\vue-admin-template\src\icons\index.js                            | JavaScript |          6 |          1 |          3 |         10 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\dashboard.svg                   | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\example.svg                     | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\eye-open.svg                    | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\eye.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\form.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\link.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\nested.svg                      | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\password.svg                    | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\table.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\tree.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svg\user.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\icons\svgo.yml                            | YAML       |          5 |         13 |          5 |         23 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\AppMain.vue             | Vue        |         35 |          2 |          4 |         41 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Navbar.vue              | Vue        |        121 |          0 |         19 |        140 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\FixiOSBug.js    | JavaScript |         24 |          2 |          1 |         27 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Item.vue        | Vue        |         38 |          0 |          4 |         42 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Link.vue        | Vue        |         41 |          0 |          3 |         44 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\Logo.vue        | Vue        |         74 |          0 |          9 |         83 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\SidebarItem.vue | Vue        |         83 |          6 |          7 |         96 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\Sidebar\index.vue       | Vue        |         53 |          1 |          3 |         57 |
| d:\czcfiles\code\vue-admin-template\src\layout\components\index.js                | JavaScript |          3 |          0 |          1 |          4 |
| d:\czcfiles\code\vue-admin-template\src\layout\index.vue                          | Vue        |         86 |          0 |          8 |         94 |
| d:\czcfiles\code\vue-admin-template\src\layout\mixin\ResizeHandler.js             | JavaScript |         40 |          2 |          4 |         46 |
| d:\czcfiles\code\vue-admin-template\src\lib\md5.js                                | JavaScript |         38 |          0 |          2 |         40 |
| d:\czcfiles\code\vue-admin-template\src\main.js                                   | JavaScript |         23 |         11 |         10 |         44 |
| d:\czcfiles\code\vue-admin-template\src\permission.js                             | JavaScript |         45 |         10 |         10 |         65 |
| d:\czcfiles\code\vue-admin-template\src\router\index.js                           | JavaScript |        171 |         27 |         19 |        217 |
| d:\czcfiles\code\vue-admin-template\src\settings.js                               | JavaScript |          5 |          8 |          4 |         17 |
| d:\czcfiles\code\vue-admin-template\src\store\getters.js                          | JavaScript |          8 |          0 |          1 |          9 |
| d:\czcfiles\code\vue-admin-template\src\store\index.js                            | JavaScript |         16 |          0 |          4 |         20 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\app.js                      | JavaScript |         44 |          0 |          5 |         49 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\settings.js                 | JavaScript |         25 |          1 |          7 |         33 |
| d:\czcfiles\code\vue-admin-template\src\store\modules\user.js                     | JavaScript |         81 |          4 |         13 |         98 |
| d:\czcfiles\code\vue-admin-template\src\styles\element-ui.scss                    | SCSS       |         35 |          5 |         10 |         50 |
| d:\czcfiles\code\vue-admin-template\src\styles\index.scss                         | SCSS       |         54 |          1 |         11 |         66 |
| d:\czcfiles\code\vue-admin-template\src\styles\mixin.scss                         | SCSS       |         24 |          0 |          5 |         29 |
| d:\czcfiles\code\vue-admin-template\src\styles\sidebar.scss                       | SCSS       |        180 |          6 |         41 |        227 |
| d:\czcfiles\code\vue-admin-template\src\styles\transition.scss                    | SCSS       |         35 |          4 |         10 |         49 |
| d:\czcfiles\code\vue-admin-template\src\styles\variables.scss                     | SCSS       |         18 |          3 |          5 |         26 |
| d:\czcfiles\code\vue-admin-template\src\types\promise-plus.d.ts                   | TypeScript |          1 |          0 |          0 |          1 |
| d:\czcfiles\code\vue-admin-template\src\utils\auth.js                             | JavaScript |         11 |          0 |          5 |         16 |
| d:\czcfiles\code\vue-admin-template\src\utils\get-page-title.js                   | JavaScript |          8 |          0 |          3 |         11 |
| d:\czcfiles\code\vue-admin-template\src\utils\index.js                            | JavaScript |         88 |         23 |          7 |        118 |
| d:\czcfiles\code\vue-admin-template\src\utils\request.js                          | JavaScript |         49 |         33 |          7 |         89 |
| d:\czcfiles\code\vue-admin-template\src\utils\validate.js                         | JavaScript |          6 |         11 |          3 |         20 |
| d:\czcfiles\code\vue-admin-template\src\views\404.vue                             | Vue        |        225 |          0 |          4 |        229 |
| d:\czcfiles\code\vue-admin-template\src\views\dashboard\index.vue                 | Vue        |         53 |          0 |          7 |         60 |
| d:\czcfiles\code\vue-admin-template\src\views\form\index.vue                      | Vue        |         82 |          0 |          4 |         86 |
| d:\czcfiles\code\vue-admin-template\src\views\login\index.vue                     | Vue        |        216 |          3 |         25 |        244 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\list\index.vue                | Vue        |        217 |          3 |          3 |        223 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\addFrom.vue             | Vue        |        265 |         24 |          6 |        295 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step1.vue    | Vue        |         77 |          2 |          3 |         82 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\components\step2.vue    | Vue        |         74 |          2 |          3 |         79 |
| d:\czcfiles\code\vue-admin-template\src\views\movie\video\index.vue               | Vue        |        230 |          3 |          3 |        236 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\carousel\index.vue      | Vue        |        328 |         24 |          5 |        357 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\index.vue               | Vue        |          7 |          0 |          2 |          9 |
| d:\czcfiles\code\vue-admin-template\src\views\system\home\recommender\index.vue   | Vue        |          0 |          0 |          1 |          1 |
| d:\czcfiles\code\vue-admin-template\src\views\table\index.vue                     | Vue        |         77 |          0 |          3 |         80 |
| d:\czcfiles\code\vue-admin-template\src\views\testType.vue                        | Vue        |         23 |          0 |          1 |         24 |
| d:\czcfiles\code\vue-admin-template\src\views\tree\index.vue                      | Vue        |         72 |          0 |          7 |         79 |
| d:\czcfiles\code\vue-admin-template\src\views\type\index.vue                      | Vue        |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\views\type\list\index.vue                 | Vue        |        279 |         19 |          4 |        302 |
| d:\czcfiles\code\vue-admin-template\src\views\user\index.vue                      | Vue        |          7 |          0 |          1 |          8 |
| d:\czcfiles\code\vue-admin-template\src\views\user\list\index.vue                 | Vue        |        154 |          3 |          4 |        161 |
| Total                                                                             |            |      4,312 |        260 |        383 |      4,955 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
