"filename", "language", "YAML", "JavaScript", "Vue", "Markdown", "HTML", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\czcfiles\code\vue-admin-template\.eslintrc.js", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 2, 2, 199
"d:\czcfiles\code\vue-admin-template\.travis.yml", "YAML", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\czcfiles\code\vue-admin-template\README-zh.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 41, 112
"d:\czcfiles\code\vue-admin-template\README.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 38, 100
"d:\czcfiles\code\vue-admin-template\babel.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 1, 15
"d:\czcfiles\code\vue-admin-template\build\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
"d:\czcfiles\code\vue-admin-template\jest.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 2, 1, 25
"d:\czcfiles\code\vue-admin-template\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 5, 5, 0, 10
"d:\czcfiles\code\vue-admin-template\mock\index.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 6, 9, 58
"d:\czcfiles\code\vue-admin-template\mock\mock-server.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 6, 11, 82
"d:\czcfiles\code\vue-admin-template\mock\table.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\czcfiles\code\vue-admin-template\mock\user.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 5, 11, 130
"d:\czcfiles\code\vue-admin-template\mock\utils.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 2, 26
"d:\czcfiles\code\vue-admin-template\package.json", "JSON", 0, 0, 0, 0, 0, 65, 0, 0, 1, 66
"d:\czcfiles\code\vue-admin-template\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"d:\czcfiles\code\vue-admin-template\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\czcfiles\code\vue-admin-template\src\api\system.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\czcfiles\code\vue-admin-template\src\views\admin\info\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\czcfiles\code\vue-admin-template\src\views\form\index.vue", "Vue", 0, 0, -82, 0, 0, 0, 0, 0, -4, -86
"d:\czcfiles\code\vue-admin-template\src\views\forum\comment\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\czcfiles\code\vue-admin-template\src\views\forum\essay\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\czcfiles\code\vue-admin-template\src\views\movie\comment\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\czcfiles\code\vue-admin-template\src\views\movie\list\index.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\addFrom.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\index.vue", "Vue", 0, 0, -97, 0, 0, 0, 0, 0, -1, -98
"d:\czcfiles\code\vue-admin-template\src\views\system\home\carousel\index.vue", "Vue", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"d:\czcfiles\code\vue-admin-template\src\views\system\home\recommender\index.vue", "Vue", 0, 0, 352, 0, 0, 0, 0, 21, 4, 377
"d:\czcfiles\code\vue-admin-template\src\views\system\log\index.vue", "Vue", 0, 0, 196, 0, 0, 0, 0, 24, 3, 223
"d:\czcfiles\code\vue-admin-template\src\views\table\index.vue", "Vue", 0, 0, -77, 0, 0, 0, 0, 0, -3, -80
"d:\czcfiles\code\vue-admin-template\src\views\tree\index.vue", "Vue", 0, 0, -72, 0, 0, 0, 0, 0, -7, -79
"d:\czcfiles\code\vue-admin-template\src\views\user\list\index.vue", "Vue", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\czcfiles\code\vue-admin-template\tests\unit\.eslintrc.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\czcfiles\code\vue-admin-template\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 14, 5, 99
"d:\czcfiles\code\vue-admin-template\tests\unit\components\Hamburger.spec.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\czcfiles\code\vue-admin-template\tests\unit\components\SvgIcon.spec.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\formatTime.spec.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\param2Obj.spec.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\parseTime.spec.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"d:\czcfiles\code\vue-admin-template\tests\unit\utils\validate.spec.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
