Date : 2023-04-18 18:24:08
Directory : d:\czcfiles\code\vue-admin-template
Total : 103 files,  5650 codes, 378 comments, 542 blanks, all 6570 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         33 |      3,351 |        140 |        159 |      3,650 |
| JavaScript         |         45 |      1,712 |        200 |        214 |      2,126 |
| SCSS               |          6 |        346 |         19 |         82 |        447 |
| Markdown           |          2 |        133 |          0 |         79 |        212 |
| JSON               |          1 |         65 |          0 |          1 |         66 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| XML                |         11 |         11 |          0 |          0 |         11 |
| YAML               |          2 |         10 |         13 |          6 |         29 |
| JSON with Comments |          1 |          5 |          5 |          0 |         10 |
| TypeScript         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        103 |      5,650 |        378 |        542 |      6,570 |
| . (Files)                                                                         |         10 |        534 |         37 |         95 |        666 |
| build                                                                             |          1 |         28 |          0 |          8 |         36 |
| mock                                                                              |          5 |        269 |         21 |         36 |        326 |
| public                                                                            |          1 |         16 |          1 |          1 |         18 |
| src                                                                               |         78 |      4,588 |        305 |        384 |      5,277 |
| src (Files)                                                                       |          4 |         83 |         29 |         26 |        138 |
| src\api                                                                           |          7 |        183 |          0 |         29 |        212 |
| src\components                                                                    |          3 |        168 |          3 |         16 |        187 |
| src\components\Breadcrumb                                                         |          1 |         70 |          2 |          7 |         79 |
| src\components\Hamburger                                                          |          1 |         41 |          0 |          4 |         45 |
| src\components\SvgIcon                                                            |          1 |         57 |          1 |          5 |         63 |
| src\icons                                                                         |         13 |         22 |         14 |          8 |         44 |
| src\icons (Files)                                                                 |          2 |         11 |         14 |          8 |         33 |
| src\icons\svg                                                                     |         11 |         11 |          0 |          0 |         11 |
| src\layout                                                                        |         11 |        598 |         13 |         63 |        674 |
| src\layout (Files)                                                                |          1 |         86 |          0 |          8 |         94 |
| src\layout\components                                                             |          9 |        472 |         11 |         51 |        534 |
| src\layout\components (Files)                                                     |          3 |        159 |          2 |         24 |        185 |
| src\layout\components\Sidebar                                                     |          6 |        313 |          9 |         27 |        349 |
| src\layout\mixin                                                                  |          1 |         40 |          2 |          4 |         46 |
| src\lib                                                                           |          1 |         38 |          0 |          2 |         40 |
| src\router                                                                        |          1 |        171 |         27 |         19 |        217 |
| src\store                                                                         |          5 |        174 |          5 |         30 |        209 |
| src\store (Files)                                                                 |          2 |         24 |          0 |          5 |         29 |
| src\store\modules                                                                 |          3 |        150 |          5 |         25 |        180 |
| src\styles                                                                        |          6 |        346 |         19 |         82 |        447 |
| src\types                                                                         |          1 |          1 |          0 |          0 |          1 |
| src\utils                                                                         |          5 |        162 |         67 |         25 |        254 |
| src\views                                                                         |         21 |      2,642 |        128 |         84 |      2,854 |
| src\views (Files)                                                                 |          2 |        248 |          0 |          5 |        253 |
| src\views\admin                                                                   |          1 |          0 |          0 |          1 |          1 |
| src\views\admin\info                                                              |          1 |          0 |          0 |          1 |          1 |
| src\views\dashboard                                                               |          1 |         53 |          0 |          7 |         60 |
| src\views\forum                                                                   |          2 |          0 |          0 |          2 |          2 |
| src\views\forum\comment                                                           |          1 |          0 |          0 |          1 |          1 |
| src\views\forum\essay                                                             |          1 |          0 |          0 |          1 |          1 |
| src\views\login                                                                   |          1 |        216 |          3 |         25 |        244 |
| src\views\movie                                                                   |          6 |        782 |         34 |         18 |        834 |
| src\views\movie\comment                                                           |          1 |          0 |          0 |          1 |          1 |
| src\views\movie\list                                                              |          1 |        226 |          3 |          3 |        232 |
| src\views\movie\video                                                             |          4 |        556 |         31 |         14 |        601 |
| src\views\movie\video (Files)                                                     |          2 |        405 |         27 |          8 |        440 |
| src\views\movie\video\components                                                  |          2 |        151 |          4 |          6 |        161 |
| src\views\system                                                                  |          4 |        881 |         69 |         15 |        965 |
| src\views\system\home                                                             |          3 |        685 |         45 |         12 |        742 |
| src\views\system\home (Files)                                                     |          1 |          7 |          0 |          2 |          9 |
| src\views\system\home\carousel                                                    |          1 |        326 |         24 |          5 |        355 |
| src\views\system\home\recommender                                                 |          1 |        352 |         21 |          5 |        378 |
| src\views\system\log                                                              |          1 |        196 |         24 |          3 |        223 |
| src\views\type                                                                    |          2 |        286 |         19 |          5 |        310 |
| src\views\type (Files)                                                            |          1 |          7 |          0 |          1 |          8 |
| src\views\type\list                                                               |          1 |        279 |         19 |          4 |        302 |
| src\views\user                                                                    |          2 |        176 |          3 |          6 |        185 |
| src\views\user (Files)                                                            |          1 |          7 |          0 |          1 |          8 |
| src\views\user\list                                                               |          1 |        169 |          3 |          5 |        177 |
