"filename", "language", "JavaScript", "Vue", "TypeScript", "SCSS", "YAML", "Markdown", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\czcfiles\code\vue-admin-template\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"d:\czcfiles\code\vue-admin-template\.travis.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\czcfiles\code\vue-admin-template\README-zh.md", "Markdown", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 41, 112
"d:\czcfiles\code\vue-admin-template\README.md", "Markdown", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 38, 100
"d:\czcfiles\code\vue-admin-template\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15
"d:\czcfiles\code\vue-admin-template\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\czcfiles\code\vue-admin-template\jest.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"d:\czcfiles\code\vue-admin-template\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 10
"d:\czcfiles\code\vue-admin-template\mock\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 58
"d:\czcfiles\code\vue-admin-template\mock\mock-server.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 82
"d:\czcfiles\code\vue-admin-template\mock\table.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\czcfiles\code\vue-admin-template\mock\user.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 130
"d:\czcfiles\code\vue-admin-template\mock\utils.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\czcfiles\code\vue-admin-template\package.json", "JSON", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 67
"d:\czcfiles\code\vue-admin-template\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"d:\czcfiles\code\vue-admin-template\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"d:\czcfiles\code\vue-admin-template\src\App.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\czcfiles\code\vue-admin-template\src\Home.vue", "Vue", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 273
"d:\czcfiles\code\vue-admin-template\src\api\common.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-admin-template\src\api\forum.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\czcfiles\code\vue-admin-template\src\api\movie.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"d:\czcfiles\code\vue-admin-template\src\api\system.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"d:\czcfiles\code\vue-admin-template\src\api\table.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\czcfiles\code\vue-admin-template\src\api\type.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\czcfiles\code\vue-admin-template\src\api\upload.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\czcfiles\code\vue-admin-template\src\api\user.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\czcfiles\code\vue-admin-template\src\components\Breadcrumb\index.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 79
"d:\czcfiles\code\vue-admin-template\src\components\Hamburger\index.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"d:\czcfiles\code\vue-admin-template\src\components\SvgIcon\index.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"d:\czcfiles\code\vue-admin-template\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\czcfiles\code\vue-admin-template\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\icons\svgo.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 13, 5, 23
